0 9.01359e-12 8.78485e-12 0.000126915 7.21024e-05 0.000126915 0.999674
0.24 9.09168e-12 8.78446e-12 0.00016044 7.20639e-05 0.00016044 0.999607
0.48 9.37173e-12 8.78305e-12 0.000281554 7.19696e-05 0.000281554 0.999365
0.72 1.00146e-11 8.77984e-12 0.000562685 7.19094e-05 0.000562685 0.998803
0.96 1.13678e-11 8.77322e-12 0.00116118 7.21476e-05 0.00116118 0.997605
1.2 1.4105e-11 8.76027e-12 0.00238419 7.3409e-05 0.00238419 0.995158
1.44 1.9463e-11 8.73635e-12 0.00479886 7.76091e-05 0.00479886 0.990325
1.68 2.96029e-11 8.69539e-12 0.00940185 8.96888e-05 0.00940185 0.981107
1.92 4.81013e-11 8.63285e-12 0.0178514 0.000122137 0.0178514 0.964175
2.16 8.04754e-11 8.55629e-12 0.032719 0.000205802 0.032719 0.934356
2.4 1.34357e-10 8.5146e-12 0.0575851 0.00041445 0.0575851 0.884416
2.64 2.18322e-10 8.66715e-12 0.0965148 0.000916284 0.0965148 0.806054
2.88 3.37739e-10 9.42296e-12 0.152146 0.00206992 0.152146 0.693639
3.12 4.87309e-10 1.16733e-11 0.222191 0.00458003 0.222191 0.551039
3.36 6.45626e-10 1.71338e-11 0.29682 0.00974116 0.29682 0.396619
3.6 7.81337e-10 2.90052e-11 0.361413 0.0199575 0.361413 0.257218
3.84 8.68388e-10 5.41501e-11 0.403649 0.0404403 0.403649 0.152262
4.08 8.88902e-10 1.11707e-10 0.414952 0.0858935 0.414952 0.0842035
4.32 8.02676e-10 2.62668e-10 0.37626 0.204547 0.37626 0.0429326
4.56 5.21839e-10 6.17301e-10 0.245827 0.491657 0.245827 0.0166885
4.8 2.23391e-10 9.39345e-10 0.106 0.7837 0.106 0.00429957
5.04 8.75279e-11 1.0253e-09 0.041934 0.915087 0.041934 0.00104519
5.28 3.72852e-11 9.99078e-10 0.0180324 0.963638 0.0180324 0.000297099
5.52 1.74762e-11 9.4888e-10 0.00850937 0.98288 0.00850937 0.000100498
5.76 9.96214e-12 9.13386e-10 0.00486618 0.990222 0.00486618 4.47385e-05
6 9.25554e-12 9.1082e-10 0.00452132 0.990915 0.00452132 4.19226e-05
6.24 1.47847e-11 9.42572e-10 0.0072003 0.985512 0.0072003 8.75975e-05
6.48 3.02194e-11 9.9404e-10 0.0146163 0.970518 0.0146163 0.000249396
6.72 6.86098e-11 1.03443e-09 0.032847 0.933463 0.032847 0.000843104
6.96 1.72049e-10 9.93382e-10 0.0814458 0.833709 0.0814458 0.00339996
7.2 4.31437e-10 7.30801e-10 0.202404 0.581064 0.202404 0.014128
7.44 7.47912e-10 3.38663e-10 0.348758 0.26119 0.348758 0.0412945
7.68 8.71403e-10 1.4111e-10 0.404413 0.106974 0.404413 0.0842009
7.92 8.64697e-10 6.59354e-11 0.399423 0.0486174 0.399423 0.152537
8.16 7.83146e-10 3.42827e-11 0.359864 0.0234983 0.359864 0.256774
8.4 6.5006e-10 1.96238e-11 0.296807 0.0113455 0.296807 0.395041
8.64 4.92691e-10 1.28493e-11 0.223055 0.00530297 0.223055 0.548587
8.88 3.42785e-10 9.96527e-12 0.153309 0.00238715 0.153309 0.690994
9.12 2.223e-10 8.90981e-12 0.0975739 0.00105156 0.0975739 0.803801
9.36 1.37124e-10 8.62035e-12 0.0583741 0.000470943 0.0583741 0.882781
9.6 8.22328e-11 8.60148e-12 0.0332379 0.000229177 0.0332379 0.933295
9.84 4.91448e-11 8.65193e-12 0.0181647 0.000131843 0.0181647 0.963539
10.08 3.01906e-11 8.70341e-12 0.00957937 9.37854e-05 0.00957937 0.980747
10.32 1.97798e-11 8.73972e-12 0.00489443 7.93908e-05 0.00489443 0.990132
10.56 1.42694e-11 8.76171e-12 0.00243346 7.42181e-05 0.00243346 0.995059
10.8 1.14503e-11 8.77385e-12 0.00118568 7.25355e-05 0.00118568 0.997556
11.04 1.00553e-11 8.78013e-12 0.000574626 7.21076e-05 0.000574626 0.998779
11.28 9.39225e-12 8.78319e-12 0.000287544 7.20794e-05 0.000287544 0.999353
11.52 9.10368e-12 8.78453e-12 0.000164004 7.21337e-05 0.000164004 0.9996
11.76 9.02361e-12 8.7849e-12 0.000129981 7.21605e-05 0.000129981 0.999668
