0 1.84155e-10
0.12 2.1478e-10
0.24 3.15761e-10
0.36 5.19374e-10
0.48 8.91395e-10
0.6 1.55241e-09
0.72 2.71703e-09
0.84 4.76372e-09
0.96 8.35812e-09
1.08 1.46701e-08
1.2 2.57555e-08
1.32 4.52275e-08
1.44 7.9438e-08
1.56 1.39556e-07
1.68 2.45229e-07
1.8 4.31031e-07
1.92 7.57836e-07
2.04 1.33288e-06
2.16 2.34519e-06
2.28 4.12819e-06
2.4 7.27036e-06
2.52 1.28108e-05
2.64 2.25848e-05
2.76 3.98328e-05
2.88 7.02703e-05
3 0.000123956
3.12 0.000218529
3.24 0.000384735
3.36 0.000675708
3.48 0.00118214
3.6 0.00205627
3.72 0.00354799
3.84 0.00605613
3.96 0.0101955
4.08 0.0168757
4.2 0.027374
4.32 0.0433398
4.44 0.0664859
4.56 0.0971456
4.68 0.130085
4.8 0.149761
4.92 0.13992
5.04 0.10847
5.16 0.0754231
5.28 0.0497949
5.4 0.0321246
5.52 0.020526
5.64 0.0130967
5.76 0.00842325
5.88 0.00554926
6 0.00385635
6.12 0.00296364
6.24 0.00266097
6.36 0.00287085
6.48 0.00363299
6.6 0.00510877
6.72 0.00760691
6.84 0.0116354
6.96 0.0179863
7.08 0.0278462
7.2 0.0428776
7.32 0.0650343
7.44 0.0950296
7.56 0.126756
7.68 0.142121
7.8 0.128492
7.92 0.09773
8.04 0.0669428
8.16 0.0432545
8.28 0.0269736
8.4 0.0164023
8.52 0.00977818
8.64 0.00573644
8.76 0.00332261
8.88 0.00190566
9 0.00108508
9.12 0.000614688
9.24 0.00034703
9.36 0.000195508
9.48 0.000110017
9.6 6.18797e-05
9.72 3.48031e-05
9.84 1.95789e-05
9.96 1.10185e-05
10.08 6.20362e-06
10.2 3.49432e-06
10.32 1.96908e-06
10.44 1.11002e-06
10.56 6.25954e-07
10.68 3.53089e-07
10.8 1.99225e-07
10.92 1.12441e-07
11.04 6.34841e-08
11.16 3.58685e-08
11.28 2.03018e-08
11.4 1.15499e-08
11.52 6.67175e-09
11.64 4.02848e-09
11.76 2.73168e-09
11.88 2.34404e-09
